review_id,date,overall_rating,traveler_type,nationality,stay_duration,comments,location_rating,cleanliness_rating,service_rating,value_rating,facilities_rating,comfort_rating
RV0001,2023-11-24,1,Couple,Portuguese,7,Room could be larger,1,1,2,1,1,1
RV0002,2023-05-21,5,Couple,German,1,Excellent staff,5,5,4,5,5,5
RV0003,2023-03-13,3,Couple,French,3,Expensive drinks,3,3,2,3,2,3
RV0004,2023-10-07,4,Couple,German,4,Good breakfast,5,4,4,4,4,3
RV0005,2023-08-05,4,Family,Portuguese,6,Great location near the beach,4,4,4,4,5,4
RV0006,2023-02-17,5,Family,Dutch,5,Excellent staff,4,5,4,5,4,5
RV0007,2023-09-16,5,Friends,Other,1,Great location near the beach; Good breakfast; Excellent staff,5,5,5,5,4,5
RV0008,2023-11-29,5,Solo,British,6,Good breakfast; Beautiful pool area; Excellent staff,5,5,5,5,5,5
RV0009,2023-08-18,2,Couple,German,6,Noise from street; Room could be larger; WiFi issues,1,2,1,3,2,2
RV0010,2023-12-24,4,Business,Other,3,Clean rooms; Comfortable beds,4,4,3,4,4,4
RV0011,2023-03-21,5,Business,Portuguese,2,Clean rooms,5,4,5,5,4,4
RV0012,2023-02-22,4,Friends,Spanish,2,Beautiful pool area,3,3,3,3,3,4
RV0013,2023-02-19,4,Couple,Portuguese,2,Clean rooms; Good breakfast,5,4,5,5,3,4
RV0014,2023-05-16,5,Couple,Spanish,3,Comfortable beds,5,5,5,4,5,5
RV0015,2023-08-24,4,Couple,Dutch,8,Great location near the beach; Beautiful pool area; Comfortable beds,5,4,4,4,4,4
RV0016,2023-10-10,5,Couple,Spanish,4,Comfortable beds; Good breakfast,5,5,5,5,4,4
RV0017,2023-07-05,3,Couple,French,4,Slow check-in,3,2,1,3,4,3
RV0018,2023-02-05,4,Solo,French,5,Comfortable beds,4,4,4,4,4,4
RV0019,2023-04-27,5,Solo,Dutch,4,Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0020,2023-02-21,1,Family,Spanish,2,Noise from street; Limited parking,1,1,1,1,1,1
RV0021,2023-11-22,5,Couple,British,5,Excellent staff; Clean rooms,5,5,5,4,5,5
RV0022,2023-07-01,2,Couple,Portuguese,3,Slow check-in,1,2,2,2,2,2
RV0023,2023-05-17,4,Business,French,3,Comfortable beds; Great location near the beach; Excellent staff,4,5,3,4,3,4
RV0024,2023-10-01,3,Family,British,3,Clean rooms,4,4,3,2,3,3
RV0025,2023-08-25,5,Couple,Dutch,4,Clean rooms; Good breakfast,5,5,5,5,5,5
RV0026,2023-04-23,5,Family,Portuguese,1,Clean rooms; Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0027,2023-01-17,5,Family,Portuguese,4,Beautiful pool area; Clean rooms,5,5,4,5,5,5
RV0028,2023-02-03,2,Couple,British,4,Expensive drinks,1,2,2,2,2,2
RV0029,2023-06-11,5,Couple,Portuguese,9,Comfortable beds,5,4,5,5,5,5
RV0030,2023-09-13,3,Couple,Portuguese,2,Expensive drinks; WiFi issues,4,3,3,4,3,3
RV0031,2023-03-15,4,Couple,French,5,Excellent staff; Comfortable beds,4,3,4,4,4,4
RV0032,2023-10-15,2,Solo,Portuguese,7,Noise from street; Expensive drinks; Limited parking,3,2,2,2,2,3
RV0033,2023-10-26,4,Couple,Portuguese,2,Clean rooms; Excellent staff,4,5,4,5,4,4
RV0034,2023-03-12,5,Business,Portuguese,10,Beautiful pool area; Great location near the beach; Good breakfast,4,5,5,5,5,5
RV0035,2023-02-26,5,Business,Spanish,4,Comfortable beds,4,5,5,5,5,5
RV0036,2023-03-23,4,Family,Other,3,Beautiful pool area; Good breakfast; Great location near the beach,3,5,4,5,3,4
RV0037,2023-07-17,5,Family,Portuguese,7,Good breakfast; Beautiful pool area,5,5,5,5,5,5
RV0038,2023-09-28,4,Couple,French,3,Good breakfast; Great location near the beach,3,4,3,4,4,4
RV0039,2023-12-15,5,Couple,French,5,Great location near the beach; Good breakfast; Clean rooms,4,5,4,5,5,5
RV0040,2023-11-25,3,Solo,Portuguese,2,Excellent staff; Good breakfast,3,4,4,3,3,4
RV0041,2023-08-11,4,Family,Portuguese,2,Beautiful pool area,4,4,4,3,4,4
RV0042,2023-01-02,5,Business,Portuguese,1,Comfortable beds; Clean rooms; Excellent staff,5,5,5,5,4,5
RV0043,2023-09-17,4,Couple,French,6,Comfortable beds,4,4,4,4,5,4
RV0044,2023-06-02,5,Friends,French,5,Good breakfast; Comfortable beds; Excellent staff,5,5,5,5,5,5
RV0045,2023-03-20,3,Business,German,5,Clean rooms; Noise from street,2,4,3,3,4,3
RV0046,2023-09-29,5,Family,Spanish,2,Good breakfast,4,5,5,5,5,5
RV0047,2023-06-15,4,Couple,Portuguese,2,Great location near the beach; Comfortable beds,3,3,4,5,3,4
RV0048,2023-07-05,5,Family,Portuguese,3,Excellent staff; Great location near the beach,5,5,4,5,5,5
RV0049,2023-05-04,4,Business,Other,1,Great location near the beach; Comfortable beds; Beautiful pool area,5,3,5,4,4,4
RV0050,2023-02-05,3,Couple,British,3,Clean rooms,3,3,3,3,3,3
RV0051,2023-12-04,5,Couple,Portuguese,5,Good breakfast; Excellent staff,4,5,5,5,5,4
RV0052,2023-05-16,3,Family,Portuguese,5,Beautiful pool area; Noise from street,4,3,3,3,4,3
RV0053,2023-12-20,5,Family,Dutch,7,Comfortable beds,5,5,5,5,5,4
RV0054,2023-06-09,4,Couple,French,4,Comfortable beds; Clean rooms,4,4,4,4,5,4
RV0055,2023-08-13,5,Family,Portuguese,3,Beautiful pool area; Great location near the beach; Excellent staff,5,5,5,5,5,5
RV0056,2023-04-26,5,Business,French,10,Clean rooms,5,5,5,5,4,4
RV0057,2023-01-11,3,Couple,Portuguese,4,Limited parking,3,3,2,3,2,3
RV0058,2023-04-23,2,Couple,British,5,Room could be larger,2,2,3,2,2,3
